Article Title,NA,Newspaper,Publication City,Publication State,Link,Species,Reviewer1,Reviewer1_date,Reviewer2,Reviewer2_date,Code1,Code1_valence,Code2,Code2_valence,Code3,Code3_valence,Code4,Code4_valence,Code5,Code5_valence
"Citing grizzlies, groups sue over grazing plan in Paradise Valley",local article,Helena Independent Record,Helena,MT,https://helenair.com/news/state-and-regional/govt-and-politics/citing-grizzlies-groups-sue-over-grazing-plan-in-paradise-valley/article_15e4349b-5435-5a91-ac97-a24aee8a539b.html,Grizzly bear,Matt Williamson,9/28/2022,,,Grazing conflicts with wildlife,negative,,,,,,,,
"Grizzly bear attacks, injures antler hunters in Wyoming",local article,Associated Press State Wire,,ID,link,Grizzly bear,BW,10/26/22,,,Wildlife conflicts with recreationists,negative,Human injury,negative,,,,,,
Fat Bear Week's chunky bears are all winners,NA,,,,,,,,,,,,,,,,,,,
"Fewer grizzly bear conflicts, removals reported so far this year",local article,Laramie Boomerang,Laramie,WY,link,Grizzly bear,BW,10/26/22,IP,12/2/2022,Wildlife conflicts with recreationists,negative,Wildlife is increasing,positive,Wildlife injury,negative,Problem is people,negative,,
Bears aren't as carnivorous as previously thought WSU study finds,local article,Bellingham Herald,Bellingham,WA,link,Grizzly bear,BW,10/26/22,IP,12/2/2022,Problem is people,negative,Problem is managers,negative,,,,,,
Bears Are Omnivores Like Humans,,"Plexus Encyclopedia of Medicine, Science, and Technology, The (USA)",,WI,link,Grizzly Bear,BW,11/1/22,IP,12/2/2022,Problem is people,negative,,,,,,,,
​​Grizzly advocates appeal ruling on Upper Green River grazing,local article,Wyoming Business Report,,WY,link,Grizzly Bear,BW,11/1/22,IP,12/2/2022,Problem is managers,negative,Problem is people,negative,Grazing conflicts with wildlife,negative,,,,
"Grizzlies captured in Bitterroot, relocated",local article,Billings Gazette,Billings,MT,link,Grizzly Bear,BW,11/1/22,IP,12/2/2022,Wildlife conflicts with homeowners,negative,Wildlife relocated,positive,,,,,,
Nature Guide Spots Up to 13 Wolverines Chasing Grizzly Bears in the Grand Tetons,Online Magazine,Field and Stream,Online,Online,link,Grizzly Bear,BW,11/3/22,IP,12/2/2022,Wildlife conflicts with other wildlife,negative,,,,,,,,
Don't expand development on Holland Lake,local article,Daily Inter Lake ,Kalispell,MT,link,Grizzly Bear,BW,11/3/22,IP,12/2/2022,Problem is people,negative,Problem is development,negative,,,,,,
"$51, 100 Reward Offered for Info on Washington Wolf Poisonings",local article,Statesman-Examiner,Colville,WA,link,Wolves,IP,11/10/22,BW,12/7/2022,Problem is people,negative,,,,,,,,
