Article Title,Article Type,Newspaper,Publication City,Publication State,Link,Species,Reviewer1,Reviewer1_date,Reviewer2,Reviewer2_date,Code1,Code1_valence,Code2,Code2_valence,Code3,Code3_valence,Code4,Code4_valence,Code5,Code5_valence,Notes
"Citing grizzlies, groups sue over grazing plan in Paradise Valley",local article,Helena Independent Record,Helena,MT,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=Citing%20grizzlies%2C%20groups%20sue%20over%20grazing%20plan%20in%20Paradise%20Valley&docref=news/18C8170AD46B8230 bear,Matt Williamson,9/28/2022,,,Grazing conflicts with wildlife,negative,,,,,,,,,
"Grizzly bear attacks, injures antler hunters in Wyoming",local article,Associated Press State Wire,,ID,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&page=1&maxresults=20&f=advanced&val-base-0=%22grizzly%20bears%22&fld-base-0=alltext&docref=news/18D370A541F74FA8https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&page=1&maxresults=20&f=advanced&val-base-0=%22grizzly%20bears%22&fld-base-0=alltext&docref=news/18D370A541F74FA8,Grizzly bear,BW,10/26/22,,,Wildlife conflicts with recreationists,negative,Human injury,negative,,,,,,,
"Fewer grizzly bear conflicts, removals reported so far this year",local article,Laramie Boomerang,Laramie,WY,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&page=2&maxresults=20&f=advanced&val-base-0=%22grizzly%20bears%22&fld-base-0=alltext&docref=news/18D2BD9E847AFCE8,Grizzly bear,BW,10/26/22,IP,12/2/2022,Wildlife conflicts with recreationists,negative,Wildlife is increasing,positive,Wildlife injury,negative,Problem is people,negative,Wildlife conflicts with homeowners,negative,
Bears aren't as carnivorous as previously thought WSU study finds,local article,Bellingham Herald,Bellingham,WA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&page=4&maxresults=20&f=advanced&val-base-0=%22grizzly%20bears%22&fld-base-0=alltext&docref=news/18D132C143DDCAB8,Grizzly bear,BW,10/26/22,IP,12/2/2022,Problem is people,negative,Problem is managers,negative,,,,,,,
Bears Are Omnivores Like Humans,,"Plexus Encyclopedia of Medicine, Science, and Technology, The (USA)",,WI,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&page=17&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18D3C5C6548F0BD8,Grizzly Bear,BW,11/1/22,IP,12/2/2022,Problem is people,negative,,,,,,,,,
​​Grizzly advocates appeal ruling on Upper Green River grazing,local article,Wyoming Business Report,,WY,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&page=18&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18CFAE1B20167A40,Grizzly Bear,BW,11/1/22,IP,12/2/2022,Problem is managers,negative,Problem is people,negative,Grazing conflicts with wildlife,negative,,,,,
"Grizzlies captured in Bitterroot, relocated",local article,Billings Gazette,Billings,MT,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&page=18&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18CF5B452F5084B0,Grizzly Bear,BW,11/1/22,IP,12/2/2022,Wildlife conflicts with homeowners,negative,Wildlife relocated,positive,,,,,,,
Nature Guide Spots Up to 13 Wolverines Chasing Grizzly Bears in the Grand Tetons,Online Magazine,Field and Stream,Online,Online,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=&sort=YMD_date%3AD&page=20&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18CEFE26522C7358,Grizzly Bear,BW,11/3/22,IP,12/2/2022,Wildlife conflicts with other wildlife,negative,,,,,,,,,
Don't expand development on Holland Lake,local article,Daily Inter Lake ,Kalispell,MT,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&page=17&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bears%22&docref=news/18CE672FEF7A3C60,Grizzly Bear,BW,11/3/22,IP,12/2/2022,Problem is people,negative,Problem is development,negative,,,,,,,
"$51, 100 Reward Offered for Info on Washington Wolf Poisonings",local article,Statesman-Examiner,Colville,WA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&page=4&fld-base-0=alltext&maxresults=20&val-base-0=%22wolves%22&docref=news/18D39780112E5890,Wolves,IP,11/10/22,BW,12/7/2022,Problem is people,negative,,,,,,,,,
Wildlife Department calls off wolf hunt after discovery of unburied cattle carcasses,local article,Statesman-Examiner,Colville,WA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&page=4&fld-base-0=alltext&maxresults=20&val-base-0=%22wolves%22&docref=news/18D3978007962768,Wolves,IP,11/12/22,BW,12/7/2022,Problem is managers,negative,Wildlife conflicts with other wildlife,negative,,,,,,,
She mistook a dog for a wolf - and fired,local article,Wallowa County Cheiftain,Enterprise,OR,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&page=4&fld-base-0=alltext&maxresults=20&val-base-0=%22wolves%22&docref=news/18D40856C83EEA88,Wolves,IP,11/12/22,BW,1/30/2023,Problem is people,negative,Wildlife injury,negative,,,,,,,
"Cougars kill wolves in Washington, raising questions about predator-on-predator dynamics",local article,Spoksman Review,Spokane,WA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&page=4&fld-base-0=alltext&maxresults=20&val-base-0=%22wolf%22&docref=news/18D8FCEE6780F5F8,Wolves,IP,11/14/22,BW,1/30/2023,Wildlife injury,negative,Wildlife conflicts with other wildlife,negative,,,,,,,
U.S. Wildlife kills second wolf near Meacham,local article,Baker City Herald,Baker,OR,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&page=6&fld-base-0=alltext&maxresults=20&val-base-0=%22wolves%22&docref=news/18D8FFACD483A9C8,Wolves,IP,11/14/22,BW,1/30/2023,Grazing conflicts with wildlife,negative,Wildlife injury,negative,,,,,,,
"Deer abundence, CWD, and is that a wolf?",local article,Times Herald-Record,Middelton,NY,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica/country%3AUSA%21USA&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=wolf%20animal&docref=news/18DDD9FD54CFAEB8,Wolves,IP,11/18/22,BW,1/30/2023,Wildlife is increasing,negative,,,,,,,,,
Will California reintroduce grizzly bears to wilderness areas?,local article,Mt. Shasta Herald,Mt. Shasta,CA,https://infoweb.newsbank.com/apps/news/document-view?p=WORLDNEWS&t=continent%3ANorth%2BAmerica%21North%2BAmerica&sort=YMD_date%3AD&fld-base-0=alltext&maxresults=20&val-base-0=%22grizzly%20bear%22&docref=news/18D88F76B8D59F20,Grizzly Bear,BW,11/3/22,,,Problem is development,negative,Wildlife conflicts with recreation,negative,Wildlife conflicts with homeowners,negative,Problem is people,negative,,,
